Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
LandingLearningBrain,0.569,9246.789,27.947,10288,626.697
LandingLearningBrain,0.656,9285.830,28.225,10270,626.464
LandingLearningBrain,0.793,9325.506,28.547,10292,626.107
LandingLearningBrain,0.741,9365.387,27.670,10265,625.417
LandingLearningBrain,0.591,9404.136,29.185,10246,624.738
LandingLearningBrain,0.601,9443.099,28.663,10283,623.989
LandingLearningBrain,0.556,9482.633,27.633,10248,622.915
LandingLearningBrain,0.557,9522.387,27.955,10241,621.612
LandingLearningBrain,0.608,9562.752,28.038,10275,620.373
LandingLearningBrain,0.584,9601.982,27.592,10245,619.155
LandingLearningBrain,0.563,9642.195,28.163,10272,617.937
LandingLearningBrain,0.699,9680.774,29.039,10284,616.834
LandingLearningBrain,0.566,9719.875,27.648,10247,615.784
LandingLearningBrain,0.665,9760.320,27.994,10273,614.808
LandingLearningBrain,0.595,9800.145,27.617,10293,614.185
LandingLearningBrain,0.709,9839.595,28.181,10290,613.609
LandingLearningBrain,0.567,9878.579,28.084,10274,612.989
LandingLearningBrain,0.724,9918.627,27.958,10243,612.831
LandingLearningBrain,0.579,9958.283,28.035,10273,612.123
LandingLearningBrain,0.564,9997.643,27.579,10257,611.533
LandingLearningBrain,0.771,10037.695,28.157,10246,611.097
LandingLearningBrain,0.725,10077.619,28.171,10264,610.710
LandingLearningBrain,0.594,10116.984,28.263,10276,610.338
LandingLearningBrain,0.718,10156.656,28.261,10273,609.861
LandingLearningBrain,0.749,10196.696,27.848,10286,609.366
LandingLearningBrain,0.688,10235.449,28.257,10271,609.230
LandingLearningBrain,0.570,10274.693,28.055,10287,608.905
LandingLearningBrain,0.785,10314.564,27.519,10249,608.775
LandingLearningBrain,0.687,10354.379,28.062,10267,608.790
LandingLearningBrain,0.739,10394.466,27.870,10274,609.144
LandingLearningBrain,0.621,10434.390,27.674,10287,609.134
LandingLearningBrain,0.558,10472.811,28.479,10279,609.186
LandingLearningBrain,0.589,10512.391,27.642,10275,609.128
LandingLearningBrain,0.561,10552.563,28.049,10258,609.094
LandingLearningBrain,0.738,10592.874,28.010,10272,609.277
LandingLearningBrain,0.578,10632.371,27.537,10242,609.591
LandingLearningBrain,0.694,10672.119,27.923,10242,610.164
LandingLearningBrain,0.787,10711.141,28.040,10249,610.475
LandingLearningBrain,0.645,10751.158,27.904,10289,610.668
LandingLearningBrain,0.584,10791.049,28.163,10304,611.227
LandingLearningBrain,0.592,10831.351,28.210,10303,611.298
LandingLearningBrain,0.711,10870.821,27.664,10258,611.194
LandingLearningBrain,0.586,10909.600,29.225,10299,611.023
LandingLearningBrain,0.701,10949.221,27.662,10268,611.031
LandingLearningBrain,0.621,10988.642,28.672,10253,611.059
LandingLearningBrain,0.697,11027.419,28.556,10290,611.319
LandingLearningBrain,0.693,11066.957,27.819,10254,611.665
LandingLearningBrain,0.651,11105.862,28.404,10302,611.922
LandingLearningBrain,0.583,11145.409,28.153,10270,612.217
LandingLearningBrain,0.698,11184.998,28.337,10297,612.460
LandingLearningBrain,0.562,11225.099,27.974,10256,612.542
LandingLearningBrain,0.646,11264.826,28.233,10300,612.491
LandingLearningBrain,0.709,11305.172,27.924,10298,612.087
LandingLearningBrain,0.556,11343.207,28.729,10246,611.629
LandingLearningBrain,0.592,11383.124,28.252,10300,610.838
LandingLearningBrain,0.721,11422.923,27.537,10248,610.249
LandingLearningBrain,0.691,11462.895,28.143,10292,610.076
LandingLearningBrain,0.579,11502.259,28.431,10291,609.908
LandingLearningBrain,0.697,11542.601,28.025,10295,609.766
LandingLearningBrain,0.598,11582.437,27.650,10287,609.831
LandingLearningBrain,0.583,11622.741,28.113,10279,609.623
LandingLearningBrain,0.636,11661.888,28.748,10295,609.155
LandingLearningBrain,0.588,11701.617,28.071,10287,608.685
LandingLearningBrain,0.725,11741.192,28.411,10277,608.311
LandingLearningBrain,0.742,11780.462,27.951,10301,608.004
LandingLearningBrain,0.601,11820.340,28.035,10296,607.737
LandingLearningBrain,0.622,11860.777,28.007,10275,607.388
LandingLearningBrain,0.581,11899.503,29.239,10297,607.095
LandingLearningBrain,0.721,11939.098,28.590,10301,606.729
LandingLearningBrain,0.622,11978.759,27.658,10271,606.693
LandingLearningBrain,0.748,12018.852,27.721,10292,606.702
LandingLearningBrain,0.578,12057.424,28.236,10252,606.175
LandingLearningBrain,0.581,12097.239,27.603,10285,605.764
LandingLearningBrain,0.650,12137.831,28.104,10299,605.213
LandingLearningBrain,0.714,12176.352,28.801,10272,604.615
LandingLearningBrain,0.588,12216.395,27.939,10269,604.047
LandingLearningBrain,0.580,12256.047,27.344,10246,603.426
LandingLearningBrain,0.686,12295.817,27.530,10245,603.185
LandingLearningBrain,0.560,12335.889,28.106,10285,602.994
LandingLearningBrain,0.690,12375.758,27.553,10287,602.855
LandingLearningBrain,0.695,12415.974,28.017,10280,602.654
LandingLearningBrain,0.563,12455.374,27.449,10264,602.324
LandingLearningBrain,0.590,12495.044,27.485,10241,601.820
LandingLearningBrain,0.748,12535.599,27.947,10262,601.299
LandingLearningBrain,0.558,12575.281,27.558,10261,600.778
LandingLearningBrain,0.554,12615.527,28.048,10289,600.333
LandingLearningBrain,0.721,12655.382,27.487,10250,600.164
LandingLearningBrain,0.729,12695.219,27.330,10264,600.051
LandingLearningBrain,0.693,12735.181,28.063,10287,600.060
LandingLearningBrain,0.735,12774.933,27.692,10288,600.155
